scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00020.png,-16.477224,0.874116,-12.955994,0.8526309999999999,-0.036093,-0.520397,0.030088
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00312.png,-11.701389,0.610853,-9.623386,0.8538180000000001,-0.321115,-0.391313,0.121467
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00032.png,36.168693,-1.025954,18.343448,0.7087140000000001,-0.043086,0.703281,-0.035543
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00077.png,-7.462933,1.160916,52.914259,0.427525,-0.07506,-0.8976059999999999,0.07678
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00128.png,35.397444,-0.784894,51.804738,0.350524,-0.107824,0.924855,-0.100754
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00168.png,11.461501,0.183597,57.27579,0.096898,-0.062987,0.981818,-0.150805
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00091.png,38.825726,-1.342051,24.895424,0.7443810000000001,-0.110189,0.65856,-0.007325
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00026.png,-11.036309,0.720125,-9.674687,0.877584,-0.126384,-0.461633,0.027754
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00282.png,-12.976172,0.654831,9.814125,0.5778770000000001,-0.249654,-0.725593,0.277931
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00118.png,38.146831,-1.107717,44.989947,0.623138,-0.087936,0.7768010000000001,-0.023389
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00021.png,-16.610495,0.7297279999999999,-13.233959,0.792791,-0.018102,-0.609107,0.012025
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00051.png,-18.921055,1.029654,-3.3065550000000004,0.8026220000000001,-0.115795,-0.581509,0.065099
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00050.png,36.507503,-1.086865,31.527111,0.645849,-0.049108,0.758074,-0.076096
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00048.png,38.672244,-1.38169,-5.191255,0.72316,-0.031554,0.689282,-0.03059
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00149.png,24.639025,-0.164009,58.43043100000001,0.133918,0.005928,0.985142,-0.107467
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00352.png,25.725959,-0.866483,-16.410547,0.961715,-0.104824,0.251444,-0.029876
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00051.png,4.042589,0.668169,52.877458,0.1519589999999999,-0.057279,-0.969469,0.183787
